event_id,blob_id,time_idx,date,type,n_cells,area_km2,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon,mean_anomaly_mm,max_magnitude_mm,total_anomaly_mm
EVT-2020-058,B00062,2,2020-08-31,wet,43,29022.527235325975,29.433312311834328,77.91176045858751,28.5,30.5,77.0,78.75,91.5238037109375,180.876708984375,3935.523681640625
EVT-2020-022,B00069,2,2020-08-31,wet,32,22515.016329103448,24.780169042591556,94.23280349715503,23.75,25.75,92.75,95.0,82.24496459960938,208.07754516601562,2631.8388671875
EVT-2020-059,B00068,2,2020-08-31,wet,29,20282.19435743005,25.52387580568449,97.51414663151915,24.25,26.25,96.75,98.0,227.9693603515625,419.5650634765625,6611.111328125
EVT-2020-029,B00080,2,2020-08-31,dry,23,16175.678199264197,24.755567551581635,77.28340526355858,24.0,25.5,76.25,78.0,-115.55110931396484,-160.33807373046875,-2657.675537109375
EVT-2020-037,B00081,2,2020-08-31,dry,21,15055.885467824099,22.205031905988367,95.16877373169744,21.75,22.75,94.75,95.75,-41.41946792602539,-51.82743835449219,-869.808837890625
EVT-2020-060,B00072,2,2020-08-31,wet,18,13188.846623000265,18.86579804347351,96.11805044434226,18.25,20.0,95.75,96.5,68.08844757080078,117.53836059570312,1225.592041015625
EVT-2020-061,B00084,2,2020-08-31,dry,17,12868.093543965128,12.171820471312394,84.64134393856266,11.75,12.75,84.25,85.0,-64.86176300048828,-83.28276062011719,-1102.6500244140625
EVT-2020-019,B00078,2,2020-08-31,dry,18,11712.132166142312,32.85081423615294,84.75222286012672,32.25,33.25,84.0,85.75,-19.79800796508789,-24.960678100585938,-356.3641357421875
EVT-2020-062,B00063,2,2020-08-31,wet,17,11461.199275528406,29.508173775463085,69.99323325236338,29.0,30.0,69.5,70.5,123.13841247558594,285.0410461425781,2093.35302734375
EVT-2020-063,B00064,2,2020-08-31,wet,14,9425.6046824982,29.644285496861386,75.35813218939231,29.25,30.0,75.0,75.75,71.73017120361328,134.16448974609375,1004.222412109375
EVT-2020-030,B00082,2,2020-08-31,dry,12,8903.595625123426,16.690780685895913,96.02864880097493,16.25,17.0,95.5,96.5,-112.13818359375,-134.80905151367188,-1345.658203125
EVT-2020-064,B00070,2,2020-08-31,wet,10,7131.965013882676,22.94132864272116,93.77206409368429,22.5,23.25,93.5,94.0,80.1045913696289,108.56756591796875,801.0458984375
EVT-2020-065,B00074,2,2020-08-31,dry,11,6818.23689025323,36.839027756732065,73.50248061057567,36.5,37.0,73.0,74.0,-42.314056396484375,-48.92890930175781,-465.4546203613281
EVT-2020-066,B00065,2,2020-08-31,wet,10,6719.201506001869,29.86342953904726,80.46154925007234,29.5,30.0,79.75,81.25,83.6752700805664,148.88116455078125,836.752685546875
EVT-2020-009,B00079,2,2020-08-31,dry,10,6601.901381407863,31.558033674004538,84.21769440909576,31.0,32.0,83.75,84.5,-19.82541275024414,-24.64948272705078,-198.25411987304688
EVT-2020-067,B00097,3,2020-09-30,wet,3150,2392826.5292289564,11.54901897657727,80.92585346483523,6.0,17.5,68.0,98.0,95.79693603515625,300.54791259765625,301760.34375
EVT-2020-009,B00100,3,2020-09-30,dry,1560,1035410.6342314893,29.75060720645196,80.33790702844033,23.25,35.75,75.0,89.5,-54.083740234375,-169.15496826171875,-84370.6328125
EVT-2020-068,B00107,3,2020-09-30,dry,581,430741.87838686584,16.855987857424577,87.75376600869524,14.25,19.75,82.25,94.0,-114.99144744873047,-176.78182983398438,-66810.03125
EVT-2020-069,B00104,3,2020-09-30,dry,289,208558.5762046274,21.265137168063838,70.639143637737,19.25,23.5,68.0,74.75,-185.84523010253906,-324.4312438964844,-53709.26953125
EVT-2020-070,B00092,3,2020-09-30,wet,173,119569.90111573036,26.889697071390806,89.02670709239894,25.25,28.0,86.25,92.0,216.23678588867188,470.3238525390625,37408.96484375
